特征,分箱编号,分箱范围,样本数,违约数,正常数,违约率,WOE,IV贡献,特征IV,系数,分箱分数,权重方向
ficoRangeLow,4,"(680, 690]",84530,17794,66736,0.21050514610197563,-0.06746081043368499,0.0006132817349629344,0.1258132302162268,-0.10535034224955901,-0.5126630870719311,正向(降低违约风险)
ficoRangeLow,5,"(690, 695]",37645,7376,30269,0.19593571523442688,0.022548574158684755,2.9703973871950442e-05,0.1258132302162268,-0.10535034224955901,0.17135610383194522,正向(降低违约风险)
ficoRangeLow,6,"(695, 705]",65876,12045,53831,0.18284352419697614,0.10785584726945391,0.0011587111675247922,0.1258132302162268,-0.10535034224955901,0.8196419708635359,正向(降低违约风险)
ficoRangeLow,7,"(705, 720]",72444,11377,61067,0.15704544199657666,0.2910338224490281,0.008759784485125892,0.1258132302162268,-0.10535034224955901,2.211688488470372,正向(降低违约风险)
ficoRangeLow,8,"(720, 740]",52742,6848,45894,0.12983959652648744,0.5130337246626443,0.01844428308463181,0.1258132302162268,-0.10535034224955901,3.8987591664957626,正向(降低违约风险)
ficoRangeLow,9,"(740, +inf)",59060,5407,53653,0.09155096512021672,0.905498949034741,0.05648664805993785,0.1258132302162268,-0.10535034224955901,6.88126756213329,正向(降低违约风险)
dti,0,"(-inf, 7.27]",64025,9407,54618,0.14692698164779383,0.36956537969569364,0.012173133578328875,0.07147750071777902,-0.07881462831074981,2.101080322775563,正向(降低违约风险)
dti,1,"(7.27, 10.49]",64061,9901,54160,0.15455581398979099,0.30996284039794314,0.008733593945237275,0.07147750071777902,-0.07881462831074981,1.7622235754009115,正向(降低违约风险)
dti,2,"(10.49, 13.01]",64134,10408,53726,0.16228521533040197,0.2519782883879615,0.005885836178141003,0.07147750071777902,-0.07881462831074981,1.4325655285528929,正向(降低违约风险)
dti,3,"(13.01, 15.31]",63877,11058,52819,0.17311395337915056,0.17437280048568643,0.002876726883112219,0.07147750071777902,-0.07881462831074981,0.9913570914824898,正向(降低违约风险)
dti,4,"(15.31, 17.61]",64233,11790,52443,0.18355051141936388,0.10313112488217828,0.0010344995773026843,0.07147750071777902,-0.07881462831074981,0.5863286689193602,正向(降低违约风险)
dti,5,"(17.61, 19.97]",63899,12685,51214,0.19851640870749152,0.0062487130512983964,3.891160528984239e-06,0.07147750071777902,-0.07881462831074981,0.035525643786126784,正向(降低违约风险)
dti,6,"(19.97, 22.59]",63904,13360,50544,0.20906359539308964,-0.05876495011446896,0.00035090936481067754,0.07147750071777902,-0.07881462831074981,-0.3340948236441018,正向(降低违约风险)
dti,7,"(22.59, 25.69]",63984,14504,49480,0.2266816704176044,-0.16219995199396145,0.002758632490007892,0.07147750071777902,-0.07881462831074981,-0.922151116455415,正向(降低违约风险)
dti,8,"(25.69, 29.79]",63936,15960,47976,0.24962462462462462,-0.2887287322211527,0.009050522305274587,0.07147750071777902,-0.07881462831074981,-1.641501859263219,正向(降低违约风险)
dti,9,"(29.79, +inf)",63947,18615,45332,0.29110044255399004,-0.49929854851967687,0.02860975523503482,0.07147750071777902,-0.07881462831074981,-2.838648891703307,正向(降低违约风险)
n14,0,"(-inf, 1]",252301,42658,209643,0.16907582609660682,0.20284722839318164,0.015239846829816866,0.042788837165361485,-0.061683941466941714,0.9025800662442618,正向(降低违约风险)
n14,1,"(1, 2]",169872,32264,137608,0.18993124234717906,0.06111297970732386,0.0009731351040373135,0.042788837165361485,-0.061683941466941714,0.2719256147079537,正向(降低违约风险)
n14,2,"(2, 3]",99490,22288,77202,0.2240225148256106,-0.14696707967224062,0.003506214086255889,0.042788837165361485,-0.061683941466941714,-0.6539382251217165,正向(降低违约风险)
n14,3,"(3, 4]",59043,14477,44566,0.24519418051250783,-0.2649339727728289,0.006991067589956249,0.042788837165361485,-0.061683941466941714,-1.17883850122003,正向(降低违约风险)
n14,4,"(4, +inf)",59294,16001,43293,0.26985867035450467,-0.394004287230386,0.016078573555295166,0.042788837165361485,-0.061683941466941714,-1.7531440704707135,正向(降低违约风险)
loanAmnt,0,"(-inf, 5000]",86579,13635,72944,0.15748622645214197,0.2877079811078352,0.010241904422669366,0.034106578873700104,-0.19160939517182207,3.9766123120954346,正向(降低违约风险)
loanAmnt,1,"(5000, 6500]",42254,6730,35524,0.15927486155156909,0.2742893546739226,0.004562518364291345,0.034106578873700104,-0.19160939517182207,3.7911441339689964,正向(降低违约风险)
loanAmnt,2,"(6500, 8700]",63343,10658,52685,0.16825852896136906,0.20867597511120167,0.004041770465096139,0.034106578873700104,-0.19160939517182207,2.8842559343346847,正向(降低违约风险)
loanAmnt,3,"(8700, 1e+04]",71917,13253,58664,0.18428188050113326,0.09825828282725789,0.0010529643362899759,0.034106578873700104,-0.19160939517182207,1.358096135365041,正向(降低违约风险)
loanAmnt,4,"(1e+04, 1.2e+04]",61173,12578,48595,0.20561358769391724,-0.03777263723157649,0.00013792395916190607,0.034106578873700104,-0.19160939517182207,-0.5220819168693923,正向(降低违约风险)
loanAmnt,5,"(1.2e+04, 1.5e+04]",73561,15413,58148,0.20952678729217927,-0.06156385066620306,0.00044369936556616396,0.034106578873700104,-0.19160939517182207,-0.8509168414325949,正向(降低违约风险)
loanAmnt,6,"(1.5e+04, 1.8e+04]",54792,12371,42421,0.22578113593225288,-0.15705552730176414,0.0022115830908024264,0.034106578873700104,-0.19160939517182207,-2.170773786483004,正向(降低违约风险)
loanAmnt,7,"(1.8e+04, 2.1e+04]",59839,13539,46300,0.2262571232808035,-0.15977647448648416,0.0025016641618170244,0.034106578873700104,-0.19160939517182207,-2.2083818918739473,正向(降低违约风险)
loanAmnt,8,"(2.1e+04, 2.8e+04]",69592,15624,53968,0.22450856420278192,-0.14976094132078205,0.002548736105955717,0.034106578873700104,-0.19160939517182207,-2.0699502350753707,正向(降低违约风险)
loanAmnt,9,"(2.8e+04, +inf)",56950,13887,43063,0.24384547848990343,-0.257633017045993,0.00636381460205004,0.034106578873700104,-0.19160939517182207,-3.560925295302794,正向(降低违约风险)
issueYear,0,"(-inf, 2013]",108329,16684,91645,0.1540123143387274,0.31412821502341376,0.015148171392237002,0.03372146515679658,-0.1953368354552075,4.426246919182264,正向(降低违约风险)
issueYear,1,"(2013, 2014]",106598,19583,87015,0.18370888759639017,0.10207464858573942,0.0016823590180799748,0.03372146515679658,-0.1953368354552075,1.4382904088878665,正向(降低违约风险)
issueYear,2,"(2014, 2015]",178836,36237,142599,0.20262698785479433,-0.019388227024063554,0.00010565134892510481,0.03372146515679658,-0.1953368354552075,-0.27319125130886823,正向(降低违约风险)
issueYear,3,"(2015, 2016]",139209,32433,106776,0.23298062625261298,-0.1977872668725925,0.009015553655244405,0.03372146515679658,-0.1953368354552075,-2.786936157845739,正向(降低违约风险)
issueYear,4,"(2016, 2017]",80454,18573,61881,0.2308524125587292,-0.18583975338633657,0.0045843672661673605,0.03372146515679658,-0.1953368354552075,-2.6185888326731592,正向(降低违约风险)
issueYear,5,"(2017, +inf)",26574,4178,22396,0.1572213441709942,0.289705682286574,0.0031853624761427318,0.03372146515679658,-0.1953368354552075,4.082119409728816,正向(降低违约风险)
n2,0,"(-inf, 2]",80036,13271,66765,0.16581288420210905,0.2262537616151164,0.005970373408893712,0.030907860038995233,-0.0778346449999731,1.2703204823681837,正向(降低违约风险)
n2,1,"(2, 3]",85368,14988,70380,0.17556929997188642,0.15731522489629932,0.0031458891601685523,0.030907860038995233,-0.0778346449999731,0.8832593586403142,正向(降低违约风险)
n2,2,"(3, 4]",93756,17498,76258,0.18663338879645036,0.08269171326702449,0.00097688246549248,0.030907860038995233,-0.0778346449999731,0.46427947246203866,正向(降低违约风险)
n2,3,"(4, 5]",118795,21920,96875,0.18451955048613158,0.09667799952799759,0.0016846444542793955,0.030907860038995233,-0.0778346449999731,0.542806634984104,正向(降低违约风险)
n2,4,"(5, 6]",70549,14585,55964,0.20673574395101277,-0.04462900251434397,0.00022250290514466405,0.030907860038995233,-0.0778346449999731,-0.2505732306810167,正向(降低违约风险)
n2,5,"(6, 8]",94809,21044,73765,0.22196205001634867,-0.1350751455647293,0.0028127297794948774,0.030907860038995233,-0.0778346449999731,-0.758390591364539,正向(降低违约风险)
n2,6,"(8, 10]",48934,11620,37314,0.2374627048677811,-0.2227031861396567,0.004046193364638544,0.030907860038995233,-0.0778346449999731,-1.2503854823112863,正向(降低违约风险)
n2,7,"(10, +inf)",47753,12762,34991,0.26725022511674656,-0.3807251459464764,0.012048644500883006,0.030907860038995233,-0.0778346449999731,-2.1376128626367645,正向(降低违约风险)
annualIncome,0,"(-inf, 3.4e+04]",64865,15486,49379,0.23874200262082787,-0.2297551834320648,0.00571984029949754,0.029224439809493394,-0.19927868029596268,-3.302711965769806,正向(降低违约风险)
annualIncome,1,"(3.4e+04, 4.2e+04]",66271,15212,51059,0.22954233375081107,-0.17844678931235244,0.0034744058774481825,0.029224439809493394,-0.19927868029596268,-2.565157997792787,正向(降低违约风险)
annualIncome,2,"(4.2e+04, 5e+04]",75158,16458,58700,0.21897868490380265,-0.1177159804151691,0.0016849493248625475,0.029224439809493394,-0.19927868029596268,-1.6921575882289512,正向(降低违约风险)
annualIncome,3,"(5e+04, 5.7e+04]",52691,11211,41480,0.21276878404281566,-0.08102808187582863,0.0005537186624811096,0.029224439809493394,-0.19927868029596268,-1.1647720481301078,正向(降低违约风险)
annualIncome,4,"(5.7e+04, 6.5e+04]",73768,15421,58347,0.2090472833749051,-0.05866629941214003,0.00040370385337108207,0.029224439809493394,-0.19927868029596268,-0.8433232546120132,正向(降低违约风险)
annualIncome,5,"(6.5e+04, 7.4e+04]",52217,10182,42035,0.19499396748185457,0.028537123041417232,6.587412772644554e-05,0.029224439809493394,-0.19927868029596268,0.41021880912385256,正向(降低违约风险)
annualIncome,6,"(7.4e+04, 8.5e+04]",72275,13776,58499,0.19060532687651333,0.05673768632353857,0.00035735097933661624,0.029224439809493394,-0.19927868029596268,0.8155995992414797,正向(降低违约风险)
annualIncome,7,"(8.5e+04, 1e+05]",63782,11245,52537,0.1763036593396256,0.15225007179731184,0.0022049789461599605,0.029224439809493394,-0.19927868029596268,2.188582326644115,正向(降低违约风险)
annualIncome,8,"(1e+05, 1.25e+05]",56232,9241,46991,0.16433703229477878,0.23696196304032563,0.004585613114637335,0.029224439809493394,-0.19927868029596268,3.4063088330583593,正向(降低违约风险)
annualIncome,9,"(1.25e+05, +inf)",62741,9456,53285,0.15071484356322024,0.3396613789434783,0.010174004623972575,0.029224439809493394,-0.19927868029596268,4.882604534918791,正向(降低违约风险)
verificationStatus,0,"(-inf, 1]",440531,80082,360449,0.18178516381367033,0.11495534075108062,0.00878303209515834,0.026304273932551667,-0.019835721965050224,0.16448326138281413,正向(降低违约风险)
verificationStatus,1,"(1, +inf)",199469,47606,151863,0.23866365199604953,-0.22932403115206051,0.017521241837393328,0.026304273932551667,-0.019835721965050224,-0.3281271171125679,正向(降低违约风险)
revolUtil,0,"(-inf, 18.2]",64252,9465,54787,0.14731058955363258,0.3665081288070085,0.012026853480241795,0.02519172582293212,0.027867693403749758,-0.7367653256069492,负向(增加违约风险)
revolUtil,1,"(18.2, 29.1]",64029,10851,53178,0.1694700838682472,0.2000435092805467,0.0037647089107154166,0.02519172582293212,0.027867693403749758,-0.4021332943702514,负向(增加违约风险)
revolUtil,2,"(29.1, 37.5]",64423,11842,52581,0.18381633888518076,0.1013582775838655,0.001002741468010686,0.02519172582293212,0.027867693403749758,-0.2037533645709639,负向(增加违约风险)
revolUtil,3,"(37.5, 45]",63848,12444,51404,0.19490038842250346,0.02913338534380539,8.393312965987952e-05,0.02519172582293212,0.027867693403749758,-0.058564780564973516,负向(增加违约风险)
revolUtil,4,"(45, 52.1]",63720,12885,50835,0.20221280602636535,-0.01682277644290289,2.831925259695224e-05,0.02519172582293212,0.027867693403749758,0.0338176356522089,负向(增加违约风险)
revolUtil,5,"(52.1, 59.2]",64286,13553,50733,0.210823507451078,-0.06937536466392036,0.0004935354264595704,0.02519172582293212,0.027867693403749758,0.13946038059807614,负向(增加违约风险)
revolUtil,6,"(59.2, 66.7]",63925,13795,50130,0.21579976535001955,-0.09903060245953621,0.00100875033171376,0.02519172582293212,0.027867693403749758,0.19907420417562463,负向(增加违约风险)
revolUtil,7,"(66.7, 74.9]",63906,14001,49905,0.21908740963289833,-0.11835158356293723,0.001448474436556669,0.02519172582293212,0.027867693403749758,0.23791380366835152,负向(增加违约风险)
revolUtil,8,"(74.9, 84.9]",63690,14206,49484,0.22304914429266762,-0.14135905164073176,0.0020731693355642514,0.02519172582293212,0.027867693403749758,0.28416408675185084,负向(增加违约风险)
revolUtil,9,"(84.9, +inf)",63921,14646,49275,0.2291265781198667,-0.17609443366579283,0.00326124005141314,0.02519172582293212,0.027867693403749758,0.3539901643645843,负向(增加违约风险)
title,0,"(-inf, 1]",320083,70255,249828,0.21948994479556866,-0.12070282504236539,0.007551189057777645,0.021144217518247996,0.02863118019333278,0.2492879168058169,负向(增加违约风险)
title,1,"(1, 4]",138137,25460,112677,0.1843097794218783,0.09807269939062829,0.002014998945911592,0.021144217518247996,0.02863118019333278,-0.20254984850629415,负向(增加违约风险)
title,2,"(4, 6]",67663,13344,54319,0.19721265684347428,0.014463201973269588,2.201959264611662e-05,0.021144217518247996,0.02863118019333278,-0.029870895639705734,负向(增加违约风险)
title,3,"(6, 205]",50129,8954,41175,0.17861916256059368,0.13638689017923158,0.0013975419319454446,0.021144217518247996,0.02863118019333278,-0.2816802649024236,负向(增加违约风险)
title,4,"(205, +inf)",63988,9675,54313,0.1512002250421954,0.33587434398558125,0.010158467989967198,0.021144217518247996,0.02863118019333278,-0.6936823184651875,负向(增加违约风险)
